frame_id,stem,product
148,1,1
299,2,15
422,3,8
590,4,12
736,5,3
907,6,9
1032,7,17
1179,8,19
1328,9,12
1495,10,19
1641,11,18
1768,12,19
2043,13,39
2183,14,15
2313,15,15
2444,16,12
2584,17,25
2710,18,22
2974,19,35
3109,20,16
3246,21,24
3372,22,13
3508,23,24
3625,24,16
3743,25,11
3851,26,9
4065,27,8
4178,28,10
4290,29,5
4402,30,15
4516,31,10
4625,32,12
4726,33,9
4820,34,16
4922,35,7
5029,36,10
5138,37,16
5248,38,13
5466,39,18
5575,40,18
5691,41,11
5928,42,21
6035,43,8
6250,44,11
6366,45,7
6490,46,8
6624,47,15
6744,48,6
6859,49,5
6967,50,11
7064,51,14
7169,52,17
7279,53,14
7399,54,22
7510,55,13
7611,56,16
7729,57,11
7862,58,22
7974,59,20
8090,60,17
8187,61,12
8294,62,17
8396,63,17
8507,64,12
8619,65,12
8732,66,10
8844,67,10
8945,68,14
9048,69,14
9161,70,18
9276,71,15
9388,72,22
9494,73,12
9612,74,11
9732,75,13
9845,76,13
9955,77,20
10067,78,14
10180,79,18
10282,80,12
10393,81,20
10606,82,39
10709,83,25
10812,84,28
11016,85,39
11114,86,12
